State,Democrats,Republicans
Alabama,36.6,62
Alaska,42.8,52.8
Arizona,49.4,49
Arkansas,34.8,62.4
California,63.5,34.3
Colorado,55.4,41.9
Connecticut,59.2,39.2
Delaware,58.8,39.8
District of Columbia,92.1,5.4
Florida,47.9,51.2
Georgia,49.5,49.3
Hawaii,63.7,34.3
Idaho,33.1,63.8
Illinois,57.5,40.5
Indiana,41,57
Iowa,44.9,53.1
Kansas,41.5,56.1
Kentucky,36.1,62.1
Louisiana,39.9,58.5
Maine,53,44
Maryland,65.4,32.1
Massachusetts,65.6,32.1
Michigan,50.6,47.8
Minnesota,52.4,45.3
Mississippi,41,57.5
Missouri,41.1,56.7
Montana,40.4,56.7
Nebraska,39.3,58.5
Nevada,50.1,47.7
New Hampshire,52.8,45.5
New Jersey,57.1,41.3
New Mexico,54.3,43.5
New York,60.8,37.7
North Carolina,48.6,49.9
North Dakota,31.8,65.1
Ohio,45.2,53.3
Oklahoma,32.3,65.4
Oregon,56.5,40.4
Pennsylvania,50,48.8
Rhode Island,59.4,38.6
South Carolina,43.4,55.1
South Dakota,35.6,61.8
Tennessee,37.4,60.7
Texas,46.5,52
Utah,37.6,58.1
Vermont,66.1,30.7
Virginia,54.1,44
Washington,58,38.8
West Virginia,29.7,68.6
Wisconsin,49.4,48.8
Wyoming,26.6,69.9